seats,kms_driven,mileage,engine,max_power,torque,price,registration_tratada_antes_2010,registration_tratada_depois 2020,fuel_type_Diesel,fuel_type_Petrol,ownsership_tratado_First Owner,ownsership_tratado_None,ownsership_tratado_Second Owner,ownsership_tratado_Third Owner,transmission_tratado_Manual,transmission_tratado_None
5,25000,11.9,1950.0,1950.0,20115.0,40.75,False,True,False,True,False,False,True,False,False,False
7,47000,15.4,2179.0,2179.0,13678.0,14.5,False,False,True,False,True,False,False,False,True,False
5,59316,16.2,1353.0,1353.0,138.0,13.99,False,True,False,True,True,False,False,False,False,False
5,48000,17.1,1496.0,1496.0,1055.0,6.95,False,True,False,True,False,False,False,True,True,False
5,20000,14.82,1998.0,1998.0,24808.0,65.0,False,True,False,True,True,False,False,False,False,False
5,12503,22.0,999.0,999.0,67.0,5.15,False,True,False,True,True,False,False,False,False,False
5,10000,14.3,1368.0,1368.0,16077.0,15.95,False,True,False,True,True,False,False,False,True,False
5,73717,16.1,1197.0,1197.0,85.0,2.41,False,False,False,True,False,False,True,False,True,False
7,90000,11.3,2987.0,2987.0,2548.0,32.5,False,False,True,False,False,False,True,False,False,False
5,17000,17.1,1199.0,1199.0,8850.0,5.95,False,False,False,True,True,False,False,False,False,False
5,36047,18.9,1197.0,1197.0,82.0,4.32,False,False,False,True,True,False,False,False,False,False
5,45000,998.0,5833.0,5833.0,78.0,4.45,False,False,False,False,True,False,False,False,True,False
5,100000,19.3,1248.0,1248.0,739.0,2.0,True,False,True,False,True,False,False,False,True,False
5,50000,20.36,1197.0,1197.0,789.0,3.45,False,False,False,True,False,False,True,False,True,False
5,51000,22.0,1197.0,1197.0,8180.0,5.5,False,False,False,True,True,False,False,False,True,False
7,62000,2179.0,15287.0,15287.0,360.0,8.5,False,False,True,False,False,False,True,False,True,False
5,10280,18.4,1498.0,1498.0,11935.0,16.0,False,True,False,True,True,False,False,False,False,False
5,17282,21.4,1197.0,1197.0,831.0,5.45,False,False,False,True,True,False,False,False,True,False
5,30500,14.4,1997.0,1997.0,15189.0,22.95,False,False,False,True,True,False,False,False,False,False
5,60755,20.8,1493.0,1493.0,11343.0,13.51,False,True,True,False,True,False,False,False,True,False
5,25000,11.9,1950.0,1950.0,20115.0,40.75,False,True,False,True,False,False,True,False,False,False
7,47000,15.4,2179.0,2179.0,13678.0,14.5,False,False,True,False,True,False,False,False,True,False
5,59316,16.2,1353.0,1353.0,138.0,13.99,False,True,False,True,True,False,False,False,False,False
5,48000,17.1,1496.0,1496.0,1055.0,6.95,False,True,False,True,False,False,False,True,True,False
5,20000,14.82,1998.0,1998.0,24808.0,65.0,False,True,False,True,True,False,False,False,False,False
5,12503,22.0,999.0,999.0,67.0,5.15,False,True,False,True,True,False,False,False,False,False
5,10000,14.3,1368.0,1368.0,16077.0,15.95,False,True,False,True,True,False,False,False,True,False
5,73717,16.1,1197.0,1197.0,85.0,2.41,False,False,False,True,False,False,True,False,True,False
7,90000,11.3,2987.0,2987.0,2548.0,32.5,False,False,True,False,False,False,True,False,False,False
5,17000,17.1,1199.0,1199.0,8850.0,5.95,False,False,False,True,True,False,False,False,False,False
5,36047,18.9,1197.0,1197.0,82.0,4.32,False,False,False,True,True,False,False,False,False,False
5,45000,998.0,5833.0,5833.0,78.0,4.45,False,False,False,False,True,False,False,False,True,False
5,100000,19.3,1248.0,1248.0,739.0,2.0,True,False,True,False,True,False,False,False,True,False
5,50000,20.36,1197.0,1197.0,789.0,3.45,False,False,False,True,False,False,True,False,True,False
5,51000,22.0,1197.0,1197.0,8180.0,5.5,False,False,False,True,True,False,False,False,True,False
7,62000,2179.0,15287.0,15287.0,360.0,8.5,False,False,True,False,False,False,True,False,True,False
5,45000,19.16,2494.0,2494.0,1577.0,22.5,False,False,False,True,True,False,False,False,False,False
5,17041,20.28,998.0,998.0,11841.0,10.49,False,True,False,True,True,False,False,False,False,False
7,49000,16.0,1997.0,1997.0,140.0,9.25,False,False,True,False,True,False,False,False,True,False
5,23588,18.27,998.0,998.0,11835.0,9.2,False,True,False,True,True,False,False,False,True,False
5,50000,17.9,2143.0,2143.0,1341.0,22.0,False,False,True,False,False,False,True,False,False,False
7,76000,11.36,2755.0,2755.0,1715.0,14.75,False,False,True,False,True,False,False,False,False,False
5,49341,21.01,1197.0,1197.0,8180.0,5.76,False,False,False,True,True,False,False,False,True,False
5,56000,18.0,1198.0,1198.0,867.0,3.25,False,False,False,True,True,False,False,False,True,False
6,12000,12.34,1451.0,1451.0,141.0,21.0,False,True,False,True,True,False,False,False,False,False
5,51734,17.8,1497.0,1497.0,1173.0,5.72,False,False,False,True,True,False,False,False,True,False
5,22000,22.0,1197.0,1197.0,8180.0,5.75,False,False,False,True,True,False,False,False,True,False
5,45084,20.5,1582.0,1582.0,1262.0,9.22,False,False,True,False,True,False,False,False,True,False
7,20000,15.4,2179.0,2179.0,120.0,11.0,False,False,True,False,True,False,False,False,False,False
5,29000,17.8,1198.0,1198.0,867.0,4.8,False,False,False,True,True,False,False,False,True,False
5,16763,18.27,998.0,998.0,11835.0,9.69,False,True,False,True,True,False,False,False,True,False
5,6000,19.33,1199.0,1199.0,8683.0,6.95,False,True,False,True,True,False,False,False,True,False
5,60000,2993.0,26149.0,26149.0,620.0,55.0,False,False,True,False,False,True,False,False,False,True
7,86000,15.1,2179.0,2179.0,140.0,5.45,False,False,True,False,True,False,False,False,True,False
5,24000,17.1,1199.0,1199.0,8850.0,6.55,False,False,False,True,True,False,False,False,False,False
5,9000,20.36,1197.0,1197.0,8180.0,7.75,False,True,False,True,True,False,False,False,True,False
5,45000,19.16,2494.0,2494.0,1577.0,22.5,False,False,False,True,True,False,False,False,False,False
5,17041,20.28,998.0,998.0,11841.0,10.49,False,True,False,True,True,False,False,False,False,False
7,49000,16.0,1997.0,1997.0,140.0,9.25,False,False,True,False,True,False,False,False,True,False
5,23588,18.27,998.0,998.0,11835.0,9.2,False,True,False,True,True,False,False,False,True,False
5,50000,17.9,2143.0,2143.0,1341.0,22.0,False,False,True,False,False,False,True,False,False,False
7,76000,11.36,2755.0,2755.0,1715.0,14.75,False,False,True,False,True,False,False,False,False,False
5,49341,21.01,1197.0,1197.0,8180.0,5.76,False,False,False,True,True,False,False,False,True,False
5,56000,18.0,1198.0,1198.0,867.0,3.25,False,False,False,True,True,False,False,False,True,False
6,12000,12.34,1451.0,1451.0,141.0,21.0,False,True,False,True,True,False,False,False,False,False
5,51734,17.8,1497.0,1497.0,1173.0,5.72,False,False,False,True,True,False,False,False,True,False
5,22000,22.0,1197.0,1197.0,8180.0,5.75,False,False,False,True,True,False,False,False,True,False
5,45084,20.5,1582.0,1582.0,1262.0,9.22,False,False,True,False,True,False,False,False,True,False
7,20000,15.4,2179.0,2179.0,120.0,11.0,False,False,True,False,True,False,False,False,False,False
5,29000,17.8,1198.0,1198.0,867.0,4.8,False,False,False,True,True,False,False,False,True,False
5,16763,18.27,998.0,998.0,11835.0,9.69,False,True,False,True,True,False,False,False,True,False
5,6000,19.33,1199.0,1199.0,8683.0,6.95,False,True,False,True,True,False,False,False,True,False
5,60000,2993.0,26149.0,26149.0,620.0,55.0,False,False,True,False,False,True,False,False,False,True
7,86000,15.1,2179.0,2179.0,140.0,5.45,False,False,True,False,True,False,False,False,True,False
5,24000,17.1,1199.0,1199.0,8850.0,6.55,False,False,False,True,True,False,False,False,False,False
5,9000,20.36,1197.0,1197.0,8180.0,7.75,False,True,False,True,True,False,False,False,True,False
7,14900,16.5,1353.0,1353.0,13805.0,16.5,False,True,False,True,True,False,False,False,False,False
5,17172,20.25,998.0,998.0,11841.0,10.33,False,True,False,True,False,False,True,False,False,False
5,33000,1950.0,24138.0,24138.0,500.0,78.0,False,True,True,False,True,False,False,False,False,False
5,38000,25.17,799.0,799.0,533.0,1.85,False,False,False,True,False,False,True,False,True,False
5,11501,19.33,1199.0,1199.0,8683.0,8.24,False,True,False,True,True,False,False,False,True,False
5,43703,1950.0,24138.0,24138.0,500.0,82.9,False,True,True,False,True,False,False,False,False,False
7,29800,2755.0,20115.0,20115.0,500.0,44.0,False,True,True,False,True,False,False,False,False,False
5,22051,21.01,1197.0,1197.0,8180.0,6.98,False,True,False,True,True,False,False,False,True,False
5,32965,1197.0,8180.0,8180.0,113.0,5.75,False,True,False,True,True,False,False,False,True,False
5,96593,1086.0,6805.0,6805.0,9904.0,2.73,False,False,False,True,True,False,False,False,True,False
5,50000,17.01,1591.0,1591.0,1213.0,6.75,False,False,False,True,True,False,False,False,True,False
5,15000,14.82,1998.0,1998.0,18908.0,42.0,False,True,False,True,True,False,False,False,False,False
5,27138,19.01,1199.0,1199.0,8482.0,5.92,False,True,False,True,True,False,False,False,True,False
